original_species,location_name,provenance_latitude,provenance_longitude,growth_site_lat,growth_site_lon,growing_conditions,reference,original_duration,original_recovery,original_term,HT_type,static_dynamic,duration_category,recovery_category,method,HT_standardized,full_ht_method,comments,Family,HT,Agriculture_sp,Notes_on_ag_status,updated_species,wcvp_authors
Corymbia calophylla,"Western Sydney University Nursery, Richmond, NSW, Australia",NA,NA,-33.61,150.74,greenhouse,"Ahrens CW, Challis A, Byrne M, Leigh A, Nicotra AB, Tissue D, Rymer P. 2021. Repeated extreme heatwaves result in higher leaf thermal tolerances and greater safety margins. New Phytologist 232: 1212-1225",15,1440,T50,T50,static,(5-25],(720-1440],FvFm,T50,(5-25]  (720-1440]  T50  FvFm,Mean T50 for populations from several provenances,Myrtaceae,47.8,N,NA,Corymbia calophylla,(Lindl.) K.D.Hill & L.A.S.Johnson
Aeluropus littoralis,Valley Vakhsha Tadjikistan,37.59402,68.95435,37.59402,68.95435,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,48.2,N,NA,Aeluropus littoralis,(Gouan) Parl.
Alopecurus pratensis,Leningrad (St. Petersburg),59.89106,30.33191,59.89106,30.33191,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,44.1,N,NA,Alopecurus pratensis,L.
Alopecurus ventricosus,Far Zelentsy Barentov Sea,NA,NA,NA,NA,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,43.8,N,NA,Alopecurus ventricosus,(Gouan) Huds.
Anthoxanthum alpinum,"Chibiny, Russia",67.66864,33.71599,67.66864,33.71599,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,large error in location,Poaceae,43.8,N,NA,Anthoxanthum alpinum,Á.Löve & D.Löve
Anthoxanthum odoratum,Leningrad (St. Petersburg),59.89106,30.33191,59.89106,30.33191,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,43.8,N,NA,Anthoxanthum odoratum,L.
Arctophila fulva,"Chibiny, Russia",67.66864,33.71599,67.66864,33.71599,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,large error in location,Poaceae,42.3,N,NA,Arctophila fulva,(Trin.) Andersson
Aristida karelini,"Ashgabat, Turkmenistan",37.93268,58.3359,37.93268,58.3359,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,49.5,N,NA,Aristida karelinii,(Trin. & Rupr.) Roshev.
Bromus inermis,Leningrad (St. Petersburg),59.89106,30.33191,59.89106,30.33191,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,44,N,NA,Bromus inermis,Leyss.
Chloris uliginosa,"Ashgabat, Turkmenistan",37.93268,58.3359,37.93268,58.3359,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,48.1,N,NA,Chloris uliginosa,Hack.
